entry_id,cluster_name,language,filename,root_cause,severity,should_remove,execution_time_ms,cpu_usage,ram_usage,error_message,code_file_path,test_file_path,log_path
Java_allergies_Exercism (java_rabestro),allergies,java,Allergies.java,docker_error,critical,NO,,,,Docker exit code: 1,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_java_persistent_Java_allergies_Exercism (java_rabestro)_1761575583.log
Java_allergies_Exercism (java_rabestro),allergies,java,Allergies.java,docker_error,critical,NO,,,,Docker exit code: 1,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_java_persistent_Java_allergies_Exercism (java_rabestro)_1760773314.log
Java_allergies_Exercism (java_rabestro),allergies,java,Allergies.java,docker_error,critical,NO,,,,Docker exit code: 1,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_java_persistent_Java_allergies_Exercism (java_rabestro)_1760773332.log
Java_allergies_Exercism (java_rabestro),allergies,java,Allergies.java,docker_error,critical,NO,,,,Docker exit code: 1,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_java_persistent_Java_allergies_Exercism (java_rabestro)_1760773354.log
Java_allergies_Exercism (java_rabestro),allergies,java,Allergies.java,docker_error,critical,NO,,,,Docker exit code: 1,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_java_persistent_Java_allergies_Exercism (java_rabestro)_1760773375.log
Java_allergies_Exercism (java_rabestro),allergies,java,Allergies.java,docker_error,critical,NO,,,,Docker exit code: 1,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_java_persistent_Java_allergies_Exercism (java_rabestro)_1761575583.log
Java_allergies_Exercism (java_rabestro),allergies,java,Allergies.java,docker_error,critical,NO,,,,Docker exit code: 1,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_java_persistent_Java_allergies_Exercism (java_rabestro)_1760773314.log
Java_allergies_Exercism (java_rabestro),allergies,java,Allergies.java,docker_error,critical,NO,,,,Docker exit code: 1,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_java_persistent_Java_allergies_Exercism (java_rabestro)_1760773332.log
Java_allergies_Exercism (java_rabestro),allergies,java,Allergies.java,docker_error,critical,NO,,,,Docker exit code: 1,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_java_persistent_Java_allergies_Exercism (java_rabestro)_1760773354.log
Java_allergies_Exercism (java_rabestro),allergies,java,Allergies.java,docker_error,critical,NO,,,,Docker exit code: 1,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_java_persistent_Java_allergies_Exercism (java_rabestro)_1760773375.log
cpp_collatz_conjecture_Exercism (thefullarcticfox),collatz_conjecture,cpp,collatz_conjecture.cpp,metrics_collection_failure,high,NO,,,4224.0,,,,
c_collatz_conjecture_Exercism (m3g4d1v3r),collatz_conjecture,c,collatz_conjecture.c,docker_error,high,NO,,40.0,3328.0,Docker exit code: 255,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_c_persistent_c_collatz_conjecture_Exercism (m3g4d1v3r)_1759784850.log
c_collatz_conjecture_Exercism (ThomasZumsteg),collatz_conjecture,c,collatz_conjecture.c,docker_error,high,NO,,50.0,3456.0,Docker exit code: 255,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_c_persistent_c_collatz_conjecture_Exercism (ThomasZumsteg)_1759784850.log
c_collatz_conjecture_Exercism (leleah),collatz_conjecture,c,collatz_conjecture.c,docker_error,high,NO,,33.0,3456.0,Docker exit code: 255,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_c_persistent_c_collatz_conjecture_Exercism (leleah)_1759784851.log
c_collatz_conjecture_Exercism (vlzware),collatz_conjecture,c,collatz_conjecture.c,docker_error,high,NO,,,3456.0,Docker exit code: 255,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_c_persistent_c_collatz_conjecture_Exercism (vlzware)_1759784851.log
cpp_collatz_conjecture_Exercism (thefullarcticfox),collatz_conjecture,cpp,collatz_conjecture.cpp,metrics_collection_failure,medium,NO,,14.0,4224.0,,,,
c_collatz_conjecture_Exercism (leleah),collatz_conjecture,c,collatz_conjecture.c,docker_error,high,NO,,33.0,3456.0,Docker exit code: 255,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_c_persistent_c_collatz_conjecture_Exercism (leleah)_1759784858.log
c_collatz_conjecture_Exercism (ThomasZumsteg),collatz_conjecture,c,collatz_conjecture.c,docker_error,high,NO,,100.0,3456.0,Docker exit code: 255,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_c_persistent_c_collatz_conjecture_Exercism (ThomasZumsteg)_1759784858.log
c_collatz_conjecture_Exercism (m3g4d1v3r),collatz_conjecture,c,collatz_conjecture.c,docker_error,high,NO,,50.0,3456.0,Docker exit code: 255,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_c_persistent_c_collatz_conjecture_Exercism (m3g4d1v3r)_1759784859.log
c_collatz_conjecture_Exercism (vlzware),collatz_conjecture,c,collatz_conjecture.c,docker_error,high,NO,,50.0,3456.0,Docker exit code: 255,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_c_persistent_c_collatz_conjecture_Exercism (vlzware)_1759784859.log
cpp_collatz_conjecture_Exercism (thefullarcticfox),collatz_conjecture,cpp,collatz_conjecture.cpp,metrics_collection_failure,medium,NO,,16.0,4224.0,,,,
c_collatz_conjecture_Exercism (vlzware),collatz_conjecture,c,collatz_conjecture.c,docker_error,high,NO,,33.0,3456.0,Docker exit code: 255,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_c_persistent_c_collatz_conjecture_Exercism (vlzware)_1759784864.log
c_collatz_conjecture_Exercism (ThomasZumsteg),collatz_conjecture,c,collatz_conjecture.c,docker_error,high,NO,,50.0,3456.0,Docker exit code: 255,,,/Users/piccoletto/Desktop/Everything/pisa/tesi/Sustainable-Code-Refactoring-with-LLMs/src/logs/test_runner_c_persistent_c_collatz_conjecture_Exercism (ThomasZumsteg)_1759784864.log
